label,TP,FP,FN,TN,classwise_accuracy,recall,specificity,balanced_accuracy
BENIGN,251479,54,3653,23135,0.9866808469357324,0.9856819215151372,0.9976713096726897,0.9916766155939134
Bot,231,2823,4,275263,0.9898426636868939,0.9829787234042553,0.9898484641441856,0.9864135937742204
Brute Force,209,2,3,278107,0.9999820351320957,0.9858490566037735,0.9999928085750551,0.9929209325894144
Dos/Ddos,21973,51,46,256251,0.999651481562656,0.9979108951360189,0.9998010159889505,0.9988559555624847
Infiltration,9,0,2,278310,0.9999928140528382,0.8181818181818182,1.0,0.9090909090909092
PortScan,664,310,7,277340,0.9988610273748657,0.9895678092399404,0.9988834864037457,0.994225647821843
Web Attack,26,490,15,277790,0.9981855483416631,0.6341463414634146,0.9982391835561305,0.8161927625097726
