label,precision,recall,f1,support
BENIGN,0.9997853164395925,0.9856819215151372,0.9926835285642387,255132
Bot,0.0756385068762279,0.9829787234042553,0.14046822742474915,235
Brute Force,0.990521327014218,0.9858490566037735,0.9881796690307328,212
Dos/Ddos,0.9976843443516165,0.9979108951360189,0.9977976068841814,22019
Infiltration,1.0,0.8181818181818182,0.9,11
PortScan,0.6817248459958932,0.9895678092399404,0.8072948328267477,671
Web Attack,0.050387596899224806,0.6341463414634146,0.0933572710951526,41
